label,t_stock,a_stock,c_stock,blob_full,blob_unw,blob_k8,blob_k12,blob_k16,blob_k24,n_marc_tok,n_cce_tok,marc_title,cce_title
1,1.0000,1.0000,0.9987,0.2642,0.2564,0.2852,0.2085,0.2827,0.2141,39,10,"A bibliography of human morphology, 1914-1939","Bibliography of human morphology, 1914-1939"
1,1.0000,1.0000,0.9983,0.6001,0.5625,0.4396,0.5719,0.6001,0.6001,16,9,Woodrow Wilson selections for today,"Woodrow Wilson, selections for today."
1,1.0000,0.8053,0.9965,0.6987,0.5625,0.6820,0.7208,0.6987,0.6987,13,12,Recently acquired American masterpieces of the 19t,Recently acquired American masterpieces of the nin
1,1.0000,0.7701,0.9967,0.8565,0.8235,1.0000,0.7756,0.8565,0.8565,16,15,The Five-year outlook for interest rates,THE FIVE-YEAR OUTLOOK FOR INTEREST RATES
1,1.0000,1.0000,0.9987,0.6627,0.5556,0.7249,0.7025,0.6507,0.6627,17,11,Unity in the ghazals of Hafez,Unity in the ghazals of Hafez
0,0.0000,0.0000,0.0009,0.0651,0.1333,0.0000,0.0303,0.0280,0.0651,12,22,Mother Goose,טעאטער פאר קינדער פון ברוך ממעט. אילוסטרירט פון ש.
1,1.0000,1.0000,0.9968,0.6264,0.6250,0.5923,0.5948,0.6586,0.6264,19,20,Government controls on transport an African case,Government controls on transport; an African case
1,1.0000,1.0000,0.9983,0.5145,0.4286,0.6299,0.5220,0.5145,0.5145,13,7,Thousand acre marsh a span of remembrance,Thousand acre marsh.
1,1.0000,1.0000,0.9987,0.7090,0.6818,0.8022,0.6547,0.6783,0.7090,16,21,A short introduction to the history and politics o,A short introduction to the history and politics o
1,1.0000,1.0000,0.9987,0.5621,0.5909,0.4342,0.5042,0.5182,0.5621,20,15,Qualitative analysis and analytical chemical separ,Qualitative analysis and analytical chemical separ
1,1.0000,1.0000,0.9933,0.4289,0.4483,0.2513,0.3438,0.3886,0.4218,28,14,The debit system of marketing life and health insu,The Debit system of marketing life and health insu
1,1.0000,1.0000,0.9987,0.7851,0.7222,0.8110,0.6890,0.7967,0.7851,17,14,The language of the foreign book trade abbreviatio,The language of the foreign book trade; abbreviati
1,1.0000,1.0000,0.9945,0.3972,0.4074,0.4576,0.3794,0.3715,0.3958,26,12,American drawings in the Art Museum. Princeton Uni,"American drawings in the Art Museum, Princeton Uni"
1,1.0000,0.6907,0.9959,0.8207,0.7692,0.8344,0.8207,0.8207,0.8207,12,11,India and the awakening East,India and the awakening East.
0,1.0000,1.0000,0.0517,0.6487,0.6154,0.6282,0.6231,0.6306,0.6487,22,20,William Morris Hughes a political biography,"William Morris Hughes, a political biography."
1,1.0000,1.0000,0.9987,0.4798,0.4194,0.6416,0.7360,0.5345,0.4710,19,25,The alkaline-earth and heavy-metal soaps,The alkaline-earth and heavy-metal soaps
1,1.0000,1.0000,0.9987,0.3661,0.3939,0.2187,0.1979,0.2625,0.3357,42,50,Farm and village housing,Farm and village housing; report of the Committee
1,1.0000,1.0000,0.9987,0.5528,0.5625,0.5807,0.5277,0.4433,0.5285,26,24,Magical city intimate sketches of New York,Magical city; intimate sketches of New York
1,1.0000,1.0000,0.9987,0.6288,0.5333,0.6662,0.6288,0.6288,0.6288,11,12,Science and sensibility,Science and sensibility.
1,1.0000,1.0000,0.9987,0.8947,0.8750,1.0000,0.7827,0.8250,0.8947,21,24,Democracy's Negroes A book of facts concerning the,Democracy's Negroes
1,0.7185,0.8851,0.9839,0.6958,0.7143,0.6414,0.6794,0.6958,0.6958,13,11,Man and state,Man and state
1,1.0000,1.0000,0.9987,0.2853,0.2821,0.2691,0.3044,0.3449,0.2679,35,15,The relevance of international adjudication,The relevance of international adjudication.
1,1.0000,0.7644,0.9955,0.5703,0.5000,0.6134,0.5929,0.5703,0.5703,14,10,The Neptune Kaizin-maru ; The foxes = Kitsune,The neptune (Kaizin-maru) The foxes (Kitsune)
1,1.0000,1.0000,0.9933,0.3975,0.2941,0.4435,0.4195,0.3975,0.3975,14,8,The chemistry of heredity,The chemistry of heredity.
1,1.0000,0.8523,0.9976,0.5552,0.5357,0.6279,0.5581,0.4191,0.5286,26,17,Animals of East Africa the wild realm,The wild realm: animals of East Africa.
1,1.0000,1.0000,0.9987,0.2061,0.1842,0.0715,0.1610,0.2363,0.2541,34,11,"Red light, green light","Red light, green light"
1,1.0000,1.0000,0.9987,0.5142,0.5200,0.3086,0.4194,0.4640,0.5046,25,13,"The Sonoma Mission, San Francisco Solano de Sonoma",The Sonoma mission: San Francisco Solano de Sonoma
1,1.0000,1.0000,0.9987,0.4883,0.4800,0.4584,0.4424,0.4428,0.4883,20,17,Junior planes,Junior planes
0,0.0000,0.3115,0.0153,0.0306,0.0303,0.0000,0.0000,0.0400,0.0314,26,8,Victorian photographs of famous men & fair women,Where to?
1,1.0000,1.0000,0.9961,0.1432,0.1081,0.2539,0.2668,0.2203,0.1668,33,8,The Mayo clinic,Mayo clinic.
1,1.0000,1.0000,0.9987,0.5254,0.4211,0.4888,0.5296,0.5482,0.5254,18,9,Guadalcanal diary,Guadalcanal diary
1,1.0000,0.4014,0.9864,0.4851,0.5000,0.4656,0.4436,0.4494,0.4851,23,16,The equidistribution theory of holomorphic curves,The equidistribution theory of holomorphic curves
1,0.6083,1.0000,0.8386,0.1892,0.1389,0.2843,0.2904,0.2957,0.2258,34,7,The apostle,The apostle
1,0.4621,1.0000,0.9352,0.5544,0.5625,0.3799,0.5078,0.5544,0.5544,16,9,Parking,Parking
1,0.9825,0.6773,0.9769,0.2619,0.2593,0.2766,0.2042,0.2690,0.2619,24,10,The way of an eagle an intimate biography of Thoma,Way of an eagle
1,1.0000,1.0000,0.9987,0.7007,0.6957,0.6223,0.7295,0.5848,0.7007,17,22,Intelligence in politics an approach to social pro,Intelligence in politics; an approach to social pr
1,0.6137,0.9295,0.9760,0.4559,0.4318,0.4668,0.5166,0.5360,0.4639,39,24,Ecology of soil-borne plant pathogens prelude to b,"Ecology of soil-borne plant pathogens, prelude to "
1,1.0000,1.0000,0.9985,0.5592,0.5238,0.6238,0.6107,0.5460,0.5592,15,17,Marine policy for America the United States at sea,Marine policy for America: the United States at se
1,0.9388,1.0000,0.9980,0.4206,0.5070,0.0000,0.0777,0.1867,0.2480,54,53,Wonder book of the world's progress,Woncler book of the world's progress
1,0.6427,1.0000,0.9849,0.4531,0.4286,0.3747,0.5170,0.4437,0.4531,19,21,"The explorers of the Moreton Bay District, 1770-18",The explorers of the Moreton Bay District
1,1.0000,1.0000,0.9987,0.4872,0.3714,0.8285,0.6070,0.5158,0.4797,23,25,The seven against Thebes <Septem contra Thebas>,… The seven against Thebes <Septem contra Thebas>
1,0.9421,1.0000,0.9980,0.7609,0.6667,0.8560,0.7609,0.7609,0.7609,12,8,All the best in Europe,All the best In Europe.
1,1.0000,1.0000,0.9974,0.4445,0.3333,0.6266,0.5884,0.4905,0.4445,21,11,Williamsburg today and yesterday,"Williamsburg, today & yesterday"
1,1.0000,1.0000,0.9987,0.5940,0.5625,0.5128,0.5404,0.5940,0.5940,15,10,The church and the nineteenth century,Church and the nineteenth century.
1,1.0000,1.0000,0.9987,0.8551,0.7778,1.0000,0.8847,0.8551,0.8551,16,16,Financial executive's handbook,Financial executive's handbook
1,1.0000,1.0000,0.9974,0.3692,0.3929,0.3630,0.3271,0.2685,0.3179,28,11,The evolution of public responsibility in the Midd,The evolution of public responsibility in the Midd
1,1.0000,0.7777,0.9966,0.4092,0.3810,0.2841,0.4521,0.3811,0.4092,20,9,The command of the air,Command of the air.
1,1.0000,1.0000,0.9987,0.7185,0.7000,0.7818,0.7185,0.7185,0.7185,10,7,The strength to move a mountain,The strength to move a mountain.
1,1.0000,1.0000,0.9987,0.5857,0.5556,0.5016,0.5495,0.5857,0.5857,14,14,Public ownership and accountability the Canadian e,Public ownership and accountability; the Canadian
1,1.0000,0.8851,0.9855,0.7809,0.7273,0.8254,0.7809,0.7809,0.7809,9,10,The art of Carl Fabergé,The art of Carl Fabergé. Faber and Faber.
1,1.0000,0.0000,0.9187,0.4385,0.3810,0.5671,0.4279,0.4081,0.4385,20,9,The eternal fount,Eternal fount
1,1.0000,1.0000,0.9987,0.7649,0.7500,0.7180,0.6572,0.7649,0.7649,16,12,A history of Islamic philosophy,A history of Islamic philosophy
1,1.0000,1.0000,0.9987,0.4618,0.5238,0.3416,0.3697,0.4089,0.4618,19,13,Red storm over Asia,Red storm over Asia.
1,1.0000,0.5942,0.9935,0.5521,0.5000,0.5739,0.6715,0.5615,0.5521,24,18,The material relics of music in ancient Palestine ,The material relics of music in ancient Palestine
1,1.0000,1.0000,0.9987,0.8207,0.8101,0.7871,0.7366,0.7950,0.8510,70,73,"Johann Kepler, 1571-1630 a tercentenary commemorat","Johann Kepler, 1571-1630; a tercentenary commemora"
1,1.0000,1.0000,0.9987,0.3276,0.3000,0.2210,0.2305,0.3319,0.3276,17,9,California editor,California editor
1,1.0000,1.0000,0.9987,0.8126,0.7500,0.8443,0.8249,0.8126,0.8126,12,16,Looking back to glory,Looking back to glory
0,0.0000,0.0000,0.0009,0.0377,0.0769,0.0000,0.0000,0.0000,0.0377,21,7,Genetical aspects of radiosensitivity mechanisms o,How.
1,0.9555,1.0000,0.9982,0.3661,0.3846,0.3862,0.3466,0.2910,0.3661,23,13,The weirwoods,The Weirwoods.
1,1.0000,1.0000,0.9987,0.7769,0.7143,0.7840,0.8461,0.7786,0.7769,16,20,The faith we live by an exposition of the Apostles,"The faith we live by, an exposition of the Apostle"
1,1.0000,1.0000,0.9987,0.1136,0.1237,0.0899,0.1824,0.1440,0.1418,92,17,Music of the ghetto and the Bible,Music of the ghetto and the Bible
1,1.0000,1.0000,0.9987,0.5506,0.5500,0.5015,0.5153,0.4921,0.5506,19,12,Fundamental techniques in virology,Fundamental techniques in virology.
1,1.0000,1.0000,0.9987,0.6942,0.7368,0.7292,0.6337,0.6809,0.6942,17,16,Arthur Miller's adaptation of An enemy of the peop,Arthur Miller's adaptation of An enemy of the peop
0,0.0000,0.3115,0.0153,0.0403,0.0370,0.0000,0.0493,0.0431,0.0403,20,8,Chaucer's Constance and accused queens,Where to?
0,1.0000,0.6316,0.0517,0.1345,0.1667,0.0000,0.0000,0.0389,0.0613,49,14,The dwelling of playful goddesses China's first no,The dwelling of playful goddesses
1,0.9853,1.0000,0.9985,0.7027,0.6250,0.6935,0.6396,0.7027,0.7027,15,11,S-2 in action,S-2 in action.
0,0.4362,0.0000,0.0386,0.0650,0.0714,0.0000,0.0771,0.0612,0.0665,26,19,Proceedings Third annual industrial relations conf,Proceedings.
1,1.0000,0.8666,0.9976,0.2874,0.2258,0.1944,0.3287,0.3898,0.3032,28,10,The Night before Christmas,The night before Christmas.
1,1.0000,1.0000,0.9987,0.4377,0.4091,0.4760,0.4161,0.4107,0.4377,20,11,Consider my servant a novel based upon the life of,Consider my servant.
1,1.0000,1.0000,0.9987,0.3771,0.4231,0.2460,0.3540,0.3292,0.3771,22,15,Madeline's Rescue,Madeline's rescue
1,1.0000,1.0000,0.9979,0.7005,0.7037,0.6103,0.5377,0.6461,0.6904,25,21,Test ban and disarmament the path of negotiation,Test ban and disarmament; the path of negotiation.
1,1.0000,1.0000,0.9981,0.3490,0.3793,0.0798,0.2657,0.3191,0.3271,28,12,Foreign volunteers of Hitler's Germany,Foreign volunteers of Hitler's Germany
1,1.0000,0.9111,0.9950,0.5279,0.5000,0.6285,0.5349,0.5496,0.5195,23,25,Indian tribes of the Southwest,Indian tribes of the Southwest
0,1.0000,0.3585,0.1534,0.0960,0.0851,0.1553,0.1111,0.1195,0.0920,26,25,Compulsory unemployment insurance,… Compulsory unemployment insurance
1,1.0000,1.0000,0.9987,0.2422,0.2667,0.0938,0.1227,0.1505,0.1816,45,12,Social welfare in the Catholic church organization,Social welfare in the Catholic church
1,1.0000,1.0000,0.9987,0.6083,0.6842,0.4378,0.5029,0.5560,0.6083,18,14,Letters of Mary W. Shelley,Letters of Mary W. Shelley
1,1.0000,1.0000,0.9892,0.5202,0.4583,0.5011,0.5617,0.4866,0.5202,20,15,"American fiction, 1774-1850 a contribution toward ","American fiction, 1774–1850."
1,1.0000,1.0000,0.9987,0.8299,0.7333,0.8173,0.8370,0.8299,0.8299,14,12,Jedediah Smith and the opening of the West,Jedediah Smith and the opening of the West.
1,1.0000,1.0000,0.9987,0.5360,0.5000,0.5613,0.4842,0.4619,0.5360,20,10,Rodin's Gates of hell,Rodin's Gates of hell.
1,1.0000,1.0000,0.9987,0.4988,0.4286,0.7799,0.6405,0.5231,0.4988,20,20,The Mao myth and the legacy of Stalinism in China,The Mao myth: and the legacy of Stalinism in China
1,1.0000,0.8968,0.9898,0.5697,0.4667,0.4508,0.5697,0.5697,0.5697,12,10,The human brain from primitive to modern,"The human brain, from primitive to modern."
1,1.0000,1.0000,0.9892,0.3831,0.3333,0.3470,0.2779,0.3285,0.3831,24,8,The Mycetozoa of North America based upon the spec,Mycetozoa of North America
1,1.0000,0.7127,0.9962,0.8259,0.7857,0.8305,0.8037,0.8259,0.8259,13,12,Two studies in virtue,Two studies in virtue.
1,1.0000,1.0000,0.9987,0.4293,0.3846,0.4849,0.4597,0.4627,0.4293,15,21,A biology of higher invertebrates,A biology of higher invertebrates Macmillan
1,1.0000,1.0000,0.9902,0.3017,0.3158,0.2451,0.2998,0.3017,0.3017,14,11,America at mid-century,America at mid-century
1,1.0000,1.0000,0.9987,0.5964,0.5789,0.4777,0.4873,0.6211,0.5964,18,12,Abraham Lincoln and the fifth column,Abraham Lincoln and the fifth column.
0,0.0000,0.0000,0.0009,0.0505,0.1053,0.0000,0.0000,0.0000,0.0505,24,18,Lots of things,בּר־מצוה רעדעס אויף אלע שבתים פון יאׇר (לויט דעם א
1,1.0000,1.0000,0.9985,0.4677,0.4211,0.6207,0.4919,0.4677,0.4677,15,12,Applied genetics the technology of inheritance,Applied genetics; the technology of inheritance.
1,1.0000,1.0000,0.9950,0.7326,0.7333,0.6518,0.6776,0.7326,0.7326,12,14,Guided missiles in war and peace,Guided missiles in war and peace. Harvard Universi
1,1.0000,0.8462,0.9977,0.5650,0.5455,0.4736,0.4735,0.4835,0.5650,14,20,A history of entomology,A history of entomology
1,1.0000,1.0000,0.9948,0.0777,0.0909,0.0000,0.0000,0.0000,0.0288,86,10,A shepherd boy of Australia photographic illustrat,Shepherd boy of Australia
1,0.8176,1.0000,0.9954,0.3496,0.3846,0.3304,0.2796,0.3483,0.3496,18,18,The second voice,The second voice.
0,0.0000,0.0000,0.0049,0.0329,0.0625,0.0000,0.0000,0.0000,0.0329,24,10,"Art of Africa, Oceania and the Americas from the c",This and that
1,1.0000,1.0000,0.9965,0.6636,0.6333,0.6245,0.6317,0.5061,0.6113,28,21,"Distillation literature, index and abstracts, 1941","Distillation literature, index and abstracts, 1941"
1,1.0000,0.7738,0.9971,0.4988,0.5161,0.4734,0.5106,0.4371,0.4584,20,27,Contemporary economic problems,Contemporary economic problems
1,0.6947,1.0000,0.9509,0.4488,0.3333,0.5340,0.5684,0.4879,0.4488,20,12,"Filippino Lippi, a critical study",Filippino Lippi.
1,1.0000,1.0000,0.9987,0.6497,0.5882,0.7624,0.6647,0.6497,0.6497,14,13,Popular mechanics aviation album,Popular mechanics aviation album
1,1.0000,1.0000,0.9892,0.1936,0.1667,0.3616,0.2765,0.2277,0.2116,42,7,Handbook of chemistry a reference volume for all r,Handbook of chemistry
1,0.6284,1.0000,0.8946,0.6209,0.5789,0.4738,0.6112,0.6209,0.6209,16,14,Human diversity the nature and significance of dif,Human diversity; the nature and significance of di
1,1.0000,1.0000,0.9987,0.5876,0.5333,0.7146,0.5445,0.5306,0.5339,17,29,Advanced servomechanism design,Advanced servomechanism design.
1,1.0000,1.0000,0.9987,0.5640,0.5294,0.6535,0.5166,0.5640,0.5640,14,12,Your employers' profits,Your employers' profits
1,1.0000,1.0000,0.9987,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,12,12,National anthem,National anthem
1,1.0000,1.0000,0.9987,0.6978,0.6000,0.8090,0.7824,0.7001,0.6978,19,13,Miami economic pattern of a resort area,"Miami, economic pattern of a resort area."
1,1.0000,0.8864,0.9856,0.7752,0.8000,0.5931,0.6975,0.6784,0.7633,26,28,Operating under the New York Disability benefits l,Operating under the New York Disability benefits l
1,1.0000,1.0000,0.9987,0.7592,0.6250,0.8246,0.7897,0.7592,0.7592,15,11,Speeches to the party the revolutionary perspectiv,Speeches to the party
1,1.0000,1.0000,0.9987,0.4647,0.5152,0.2342,0.1581,0.2855,0.4384,30,20,Various concepts of the essence of original sin cu,Various concepts of the essence of original sin cu
1,1.0000,1.0000,0.9907,0.9356,0.9375,0.8344,0.8908,0.9356,0.9356,16,15,"""Con Edison"" of New York and Ralph Tapscott","""Con Edison"" of New York and Ralph Tapscott. Newco"
1,1.0000,1.0000,0.9985,0.2981,0.2917,0.1802,0.1892,0.2919,0.2981,20,11,My playbook for women/ about sex,My playbook: for vomen/about sex
1,1.0000,1.0000,0.9987,0.6065,0.5294,0.5654,0.5454,0.6065,0.6065,15,11,Rembrandt's Aristotle and other Rembrandt studies,"Rembrandt's Aristotle, and other Rembrandt studies"
1,1.0000,0.6647,0.9971,0.2253,0.2593,0.0000,0.0470,0.0379,0.0845,51,17,Man on his own essays in the philosophy of religio,Man on his own
1,1.0000,1.0000,0.9987,0.2592,0.2812,0.2494,0.2650,0.2195,0.2442,32,9,New feathers for the old goose,New feathers for the old goose.
1,1.0000,1.0000,0.9987,0.8554,0.8235,0.8482,0.8041,0.8384,0.8554,14,17,The menace to our national defence,The menace to our national defence
1,1.0000,1.0000,0.9907,0.1322,0.1343,0.1690,0.1216,0.1017,0.1417,62,14,An introduction to Chinese civilization,An introduction to Chinese civilization
1,1.0000,1.0000,0.9987,0.7049,0.6667,0.5726,0.6841,0.7049,0.7049,13,12,About photography,About photography.
1,1.0000,1.0000,0.9987,0.1831,0.1875,0.0655,0.0984,0.1750,0.2055,45,12,La Salle,La Salle
1,0.9247,0.8523,0.9960,0.3957,0.3864,0.4657,0.4335,0.4210,0.3820,35,26,Turbulence in internal flows turbomachinery and ot,Turbulence in internal flows; turbomachinery & oth
1,1.0000,1.0000,0.9987,0.6477,0.6857,0.3554,0.4852,0.5648,0.5944,31,28,The lady in the car with glasses and a gun,The lady in the car with glasses and a gun
1,1.0000,1.0000,0.9987,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,9,9,A world of profit,A world of profit.
0,1.0000,0.2987,0.1592,0.1276,0.1579,0.0758,0.0918,0.1005,0.1276,20,24,I ching; the book of changes,I Ching: book of change
1,1.0000,1.0000,0.9987,0.6160,0.5750,0.8076,0.7611,0.6816,0.5535,24,39,The Tripolis hoard of French seignorial and crusad,The Tripolis hoard of French seignorial and crusad
1,1.0000,1.0000,0.9987,0.6042,0.5000,0.8152,0.5894,0.6085,0.6107,25,14,Christ without myth a study based on the theology ,Christ without myth; a study based on the theology
1,1.0000,1.0000,0.9987,0.3146,0.2609,0.3768,0.3558,0.3154,0.3146,19,10,A seizure of limericks,A seizure of limericks.
1,1.0000,0.0000,0.9981,0.3650,0.3600,0.3816,0.2828,0.2859,0.3650,11,23,Chamber's encyclopaedia,CHAMBERS'S Encyclopaedia.
1,0.9577,1.0000,0.9982,0.3073,0.3889,0.1545,0.1651,0.1325,0.2272,34,16,"Don Juan de Oñate, colonizer of New Mexico, 1595-1","Don Juan de Offate, colonizer of New Mexico, 1595-"
1,1.0000,1.0000,0.9987,0.3548,0.4074,0.1553,0.2343,0.2486,0.3292,27,11,White woman in the Congo,White woman on the Congo
1,1.0000,1.0000,0.9987,0.6200,0.5500,0.5469,0.5190,0.6268,0.6200,18,13,"Homotopy limits, completions and localizations","Homotopy limits, completions and localizations"
